id,title,type,release_year,age_certification,genres,imdb_score,tmdb_score,stream
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,['comedy'],8.1,6.9,1
tm38736,Too Young The Hero,MOVIE,1988,,"['drama', 'war']",6.7,6.2,1
tm51083,A Stoning in Fulham County,MOVIE,1988,,"['thriller', 'crime', 'drama']",5.9,5.8,1
tm137013,The Ryan White Story,MOVIE,1989,,['drama'],7.2,5.9,1
tm157603,Dil,MOVIE,1990,,"['drama', 'comedy', 'romance']",6.6,6.5,1
tm258072,Adam: His Song Continues,MOVIE,1986,,"['crime', 'drama']",7.0,7.0,1
tm114356,The George McKenna Story,MOVIE,1988,,['drama'],6.0,6.1,1
tm157853,In Defense of a Married Man,MOVIE,1990,,"['drama', 'crime']",5.6,4.9,1
tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,['comedy'],,7.5,1
tm446654,Mujrim,MOVIE,1989,,"['drama', 'action', 'crime']",5.4,6.0,1
tm348735,Aakhri Adaalat,MOVIE,1988,,"['action', 'crime', 'thriller']",5.1,5.0,1
tm151332,"Alexandria, Again and Forever",MOVIE,1989,,['drama'],6.5,5.3,1
tm342996,Duniya,MOVIE,1984,,"['action', 'drama']",6.3,,1
tm24110,Strange Voices,MOVIE,1987,,['drama'],6.3,6.8,1
tm371359,Jaal,MOVIE,1986,,"['action', 'drama', 'thriller']",5.2,5.0,1
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,['drama'],7.2,8.0,1
ts63001,High Risk,SHOW,1988,TV-PG,['comedy'],3.8,,1
tm311264,Muqaddar Ka Faisla,MOVIE,1987,,"['action', 'comedy', 'drama', 'family']",4.8,,1
tm411457,Pyar Ke Do Pal,MOVIE,1986,,"['drama', 'action']",6.1,,1
tm172482,Sohni Mahiwal,MOVIE,1984,,"['romance', 'drama', 'action']",6.1,5.8,1
tm419052,Ek Jaan Hain Hum,MOVIE,1983,,"['family', 'romance']",6.3,7.0,1
tm47673,An Egyptian Story,MOVIE,1982,,"['drama', 'fantasy']",7.3,6.7,1
tm52274,The Little Wars,MOVIE,1982,,"['war', 'drama', 'european']",6.3,5.5,1
tm147829,Unspeakable Acts,MOVIE,1990,,['drama'],6.1,5.3,1
ts20981,Survivor,SHOW,2000,TV-PG,['reality'],7.4,7.4,1
tm107744,Mission: Impossible,MOVIE,1996,PG-13,"['thriller', 'action']",7.1,6.9,1
ts22176,Stargate SG-1,SHOW,1997,TV-PG,"['scifi', 'drama', 'action']",8.4,8.3,1
tm15897,Se7en,MOVIE,1995,R,"['crime', 'thriller', 'drama']",8.6,8.352,1
ts21223,Pokémon,SHOW,1997,TV-Y7,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']",7.4,7.633,1
tm191013,Boogie Nights,MOVIE,1997,R,['drama'],7.9,7.6,1
tm122434,Forrest Gump,MOVIE,1994,PG-13,"['drama', 'romance']",8.8,8.478,1
tm25947,Snatch,MOVIE,2000,R,"['crime', 'comedy']",8.3,7.8,1
tm43808,The Talented Mr. Ripley,MOVIE,1999,R,"['thriller', 'drama', 'crime']",7.4,7.2,1
ts20339,One Piece,SHOW,1999,TV-14,"['animation', 'action', 'comedy', 'drama', 'fantasy']",8.8,8.764,1
ts5145,The Challenge,SHOW,1998,TV-14,"['reality', 'comedy', 'drama', 'scifi']",7.8,7.7,1
tm191110,Titanic,MOVIE,1997,PG-13,"['drama', 'romance']",7.9,7.878,1
ts34435,Cowboy Bebop,SHOW,1998,TV-14,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",8.9,8.522,1
tm192037,Starship Troopers,MOVIE,1997,R,"['scifi', 'action', 'thriller']",7.3,6.993,1
tm27395,Mission: Impossible II,MOVIE,2000,PG-13,"['thriller', 'action']",6.1,6.1,1
tm113513,Dumb and Dumber,MOVIE,1994,PG-13,['comedy'],7.3,6.6,1
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",8.5,8.637,1
tm192405,Gattaca,MOVIE,1997,PG-13,"['scifi', 'thriller', 'romance', 'drama']",7.8,7.553,1
tm116655,Léon: The Professional,MOVIE,1994,R,"['crime', 'drama', 'action', 'thriller', 'european']",8.5,8.323,1
ts21567,Gilmore Girls,SHOW,2000,TV-14,"['comedy', 'drama']",8.2,7.827,1
tm116488,Natural Born Killers,MOVIE,1994,R,"['thriller', 'drama', 'crime', 'action']",7.3,7.1,1
tm11556,The Quick and the Dead,MOVIE,1995,R,"['action', 'thriller', 'western', 'romance']",6.5,6.5,1
tm56574,You've Got Mail,MOVIE,1998,PG,"['comedy', 'romance', 'drama']",6.7,6.643,1
ts20960,Power Rangers,SHOW,1993,TV-Y7,"['action', 'scifi', 'fantasy', 'family']",6.5,6.8,1
tm53991,Big Daddy,MOVIE,1999,PG-13,"['drama', 'comedy', 'european']",6.4,6.45,1
tm49178,Vampires,MOVIE,1998,R,"['fantasy', 'action', 'horror', 'thriller']",6.1,6.3,1
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7.3,7.358,1
tm191989,Donnie Brasco,MOVIE,1997,R,"['drama', 'thriller', 'crime']",7.7,7.5,1
