sa_id,p_id,sa_netflix,sa_hulu,sa_primevid,sa_disney
211,tm314602,1,0,0,0
212,tm255589,1,0,0,0
213,tm7810,1,0,0,0
214,tm210754,1,0,0,0
215,tm449775,1,0,0,0
216,ts4,1,0,0,0
217,ts20371,1,0,0,0
218,ts9,1,0,0,0
219,ts21465,1,0,0,0
220,tm74402,1,0,0,0
221,tm91952,1,0,0,0
222,ts288536,1,0,0,0
223,ts12724,1,0,0,0
224,ts6644,1,0,0,0
225,ts8308,1,0,0,0
226,tm111828,1,0,0,0
227,ts21469,1,0,0,0
228,ts17156,1,0,0,0
229,ts22011,1,0,0,0
230,ts26091,1,0,0,0
231,tm150112,1,0,0,0
232,ts22337,1,0,0,0
233,ts3371,1,0,0,0
234,tm80906,1,0,0,0
235,ts20604,1,0,0,0
236,ts20573,1,0,0,0
237,tm92641,1,0,0,0
238,ts22099,1,0,0,0
239,tm27911,1,0,0,0
240,ts21464,1,0,0,0
241,tm88465,1,0,0,0
242,tm172683,1,0,0,0
243,ts11313,1,0,0,0
244,ts21247,1,0,0,0
245,ts20305,1,0,0,0
246,tm42877,1,0,0,0
247,tm39030,1,0,0,0
248,ts21511,1,0,0,0
249,tm997728,1,0,0,0
250,ts17942,1,0,0,0
251,tm89677,1,0,0,0
252,tm78592,1,0,0,0
253,tm105329,1,0,0,0
254,ts30311,1,0,0,0
255,tm139658,1,0,0,0
256,tm26327,1,0,0,0
257,tm95477,1,0,0,0
258,tm154187,1,0,0,0
259,ts22267,1,0,0,0
260,tm133767,1,0,0,0
261,ts2230,1,0,0,0
262,tm45454,1,0,0,0
263,tm26897,1,0,0,0
264,tm133374,1,0,0,0
265,tm195620,1,0,0,0
266,tm136808,1,0,0,0
267,tm70807,1,0,0,0
268,ts19036,1,0,0,0
269,tm93055,1,0,0,0
270,tm85811,1,0,0,0
271,ts22456,1,0,0,0
272,tm101914,1,0,0,0
273,tm131038,1,0,0,0
274,tm58382,1,0,0,0
275,tm35463,1,0,0,0
276,tm30603,1,0,0,0
277,ts22018,1,0,0,0
278,tm20959,1,0,0,0
279,tm136308,1,0,0,0
280,tm29737,1,0,0,0
281,tm148270,1,0,0,0
282,tm89036,1,0,0,0
283,tm46436,1,0,0,0
284,ts21197,1,0,0,0
285,ts21544,1,0,0,0
286,tm150260,1,0,0,0
287,ts31263,1,0,0,0
288,ts30313,1,0,0,0
289,tm79895,1,0,0,0
290,ts12787,1,0,0,0
291,tm116324,1,0,0,0
292,tm39828,1,0,0,0
293,tm23935,1,0,0,0
294,tm78067,1,0,0,0
295,tm95252,1,0,0,0
296,tm32919,1,0,0,0
297,tm169949,1,0,0,0
298,tm30205,1,0,0,0
299,tm40009,1,0,0,0
300,tm141390,1,0,0,0
301,ts35155,1,0,0,0
302,tm94606,1,0,0,0
303,ts15986,1,0,0,0
304,tm102337,1,0,0,0
305,ts22318,1,0,0,0
306,tm159901,1,0,0,0
307,tm74780,1,0,0,0
308,ts30356,1,0,0,0
309,ts32186,1,0,0,0
310,tm24088,1,0,0,0
311,tm111600,1,0,0,0
312,tm88045,1,0,0,0
313,tm78919,1,0,0,0
314,tm173066,1,0,0,0
315,tm118637,1,0,0,0
316,tm142564,1,0,0,0
317,tm57190,1,0,0,0
318,ts21706,1,0,0,0
319,tm137362,1,0,0,0
320,ts24028,1,0,0,0
321,tm148379,1,0,0,0
322,tm137342,1,0,0,0
323,tm90864,1,0,0,0
324,ts21740,1,0,0,0
325,tm32144,1,0,0,0
326,tm141707,1,0,0,0
327,tm150214,1,0,0,0
328,tm81030,1,0,0,0
329,ts687,1,0,0,0
330,tm147211,1,0,0,0
331,ts31514,1,0,0,0
332,ts33559,1,0,0,0
333,tm78671,1,0,0,0
334,ts26322,1,0,0,0
335,ts12815,1,0,0,0
336,tm27268,1,0,0,0
337,tm86189,1,0,0,0
338,tm700,1,0,0,0
339,tm101249,1,0,0,0
340,tm161263,1,0,0,0
341,tm81270,1,0,0,0
342,tm89684,1,0,0,0
343,tm165593,1,0,0,0
344,tm112381,1,0,0,0
345,tm39487,1,0,0,0
346,ts23752,1,0,0,0
347,tm43399,1,0,0,0
348,ts21421,1,0,0,0
349,ts22005,1,0,0,0
350,ts20398,1,0,0,0
351,tm186461,1,0,0,0
352,tm29555,1,0,0,0
353,tm103095,1,0,0,0
354,tm97070,1,0,0,0
355,tm101334,1,0,0,0
356,tm183963,1,0,0,0
357,tm76428,1,0,0,0
358,tm77649,1,0,0,0
359,tm86924,1,0,0,0
360,ts98340,1,0,0,0
361,tm26638,1,0,0,0
362,tm78189,1,0,0,0
363,ts20544,1,0,0,0
364,ts23835,1,0,0,0
365,tm104880,1,0,0,0
366,ts30288,1,0,0,0
367,ts38159,1,0,0,0
368,tm22294,1,0,0,0
369,tm100015,1,0,0,0
370,ts25765,1,0,0,0
371,ts21688,1,0,0,0
372,tm83786,1,0,0,0
373,tm130574,1,0,0,0
374,tm114476,1,0,0,0
375,ts20535,1,0,0,0
376,ts1893,1,0,0,0
377,tm118462,1,0,0,0
378,ts12701,1,0,0,0
379,ts121176,1,0,0,0
380,tm86995,1,0,0,0
381,ts20526,1,0,0,0
382,ts23808,1,0,0,0
