0,ts300399,,
1,tm84618,8.2,8.179
2,tm154986,7.7,7.3
3,tm127384,8.2,7.811
4,tm120801,7.7,7.6
5,ts22164,8.8,8.306
6,tm70993,8.0,7.8
7,tm14873,7.7,7.5
8,tm119281,7.7,7.5
9,tm98978,5.8,6.156
10,tm44204,7.5,7.3
11,tm67378,7.3,7.1
12,tm69997,8.1,7.5
13,tm16479,7.5,7.2
14,tm135083,7.5,7.3
15,tm89386,7.5,7.3
16,tm156453,6.2,6.1
17,tm14350,7.2,6.0
18,tm81728,8.1,8.5
19,tm94651,2.1,4.9
20,tm27298,7.6,7.1
21,tm100027,6.2,6.8
22,tm19608,7.4,7.0
23,tm204541,6.7,5.9
24,tm259855,6.1,5.2
25,tm356209,6.4,6.3
26,ts45948,8.1,7.0
27,tm200475,6.4,7.2
28,tm90896,7.2,5.3
29,tm336403,5.1,3.8
30,tm107372,6.5,5.3
31,tm358653,6.6,6.0
32,tm259684,7.8,5.0
33,tm403346,4.6,6.0
34,tm16812,4.4,6.0
35,ts20681,8.9,8.301
36,tm155787,8.7,8.463
37,tm22327,8.3,8.1
38,tm180542,8.3,8.453
39,tm138875,7.7,7.4
40,tm2386,7.4,7.3
41,tm133087,7.3,7.2
42,tm177480,6.7,6.6
43,tm54450,6.7,6.8
44,ts22082,6.9,7.5
45,ts21715,6.5,6.5
46,ts20678,7.1,8.0
47,tm145608,7.8,7.8
48,ts25028,6.7,6.8
49,tm147710,7.5,7.2
50,tm142895,7.4,7.3
51,tm20712,7.6,7.3
52,tm117580,6.7,6.707
53,ts23753,6.5,6.5
54,tm130586,4.9,5.7
55,ts987,7.4,7.5
56,tm721687,6.7,
57,tm40103,7.3,6.7
58,tm125985,7.2,7.2
59,ts2760,6.1,7.2
60,tm21953,7.2,7.2
61,tm126769,8.0,8.1
62,tm152839,6.1,6.3
63,tm49037,7.6,7.5
64,tm62924,7.9,7.4
65,tm52815,6.4,5.3
66,tm159912,7.6,6.5
67,tm133914,8.1,6.9
68,tm38736,6.7,6.2
69,tm51083,5.9,5.8
70,tm137013,7.2,5.9
71,tm157603,6.6,6.5
72,tm258072,7.0,7.0
73,tm114356,6.0,6.1
74,tm157853,5.6,4.9
75,tm132164,,7.5
76,tm446654,5.4,6.0
77,tm348735,5.1,5.0
78,tm151332,6.5,5.3
79,tm342996,6.3,
80,tm24110,6.3,6.8
81,tm371359,5.2,5.0
82,tm55091,7.2,8.0
83,ts63001,3.8,
84,tm311264,4.8,
85,tm411457,6.1,
86,tm172482,6.1,5.8
87,tm419052,6.3,7.0
88,tm47673,7.3,6.7
89,tm52274,6.3,5.5
90,tm147829,6.1,5.3
91,ts20981,7.4,7.4
92,tm107744,7.1,6.9
93,ts22176,8.4,8.3
94,tm15897,8.6,8.352
95,ts21223,7.4,7.633
96,tm191013,7.9,7.6
97,tm122434,8.8,8.478
98,tm25947,8.3,7.8
99,tm43808,7.4,7.2
100,ts20339,8.8,8.764
101,ts5145,7.8,7.7
102,tm191110,7.9,7.878
103,ts34435,8.9,8.522
104,tm192037,7.3,6.993
105,tm27395,6.1,6.1
106,tm113513,7.3,6.6
107,ts20983,8.5,8.637
108,tm192405,7.8,7.553
109,tm116655,8.5,8.323
110,ts21567,8.2,7.827
111,tm116488,7.3,7.1
112,tm11556,6.5,6.5
113,tm56574,6.7,6.643
114,ts20960,6.5,6.8
115,tm53991,6.4,6.45
116,tm49178,6.1,6.3
117,ts25252,7.3,7.358
118,tm191989,7.7,7.5
119,ts22193,7.8,7.8
120,ts22489,7.6,7.9
121,ts21034,7.9,8.6
122,tm121879,7.2,7.1
123,tm44402,7.3,7.6
124,tm187187,6.4,6.379
125,ts16919,7.5,8.4
126,tm6859,6.9,7.4
127,tm118238,6.7,6.751
128,tm111163,6.1,6.0
129,tm190835,8.0,8.4
130,tm192769,5.9,6.1
131,tm187791,7.2,6.973
132,tm113576,7.3,7.314
133,tm65686,6.5,6.5
134,ts8570,3.8,4.9
135,tm191387,4.8,5.1
136,ts27693,7.8,8.3
137,tm19494,6.6,6.6
138,tm191772,7.1,7.2
139,tm12499,5.9,6.0
140,tm186589,6.5,6.5
141,tm189764,7.5,7.542
142,tm10739,5.6,5.7
143,tm1822,4.5,5.5
144,tm55369,6.8,6.5
145,ts251477,,7.8
146,tm192431,6.2,6.1
147,ts22286,8.0,8.7
148,tm192199,5.2,5.343
149,ts11397,6.2,6.3
150,tm56033,7.0,6.8
151,ts21581,7.2,7.7
152,tm117488,4.5,5.318
153,tm190811,6.5,6.3
154,tm191431,4.8,5.1
155,tm10811,6.8,6.8
156,tm49839,5.9,6.3
157,ts20918,6.8,8.1
158,ts21693,6.2,7.5
159,ts20939,5.8,7.0
160,ts21684,7.8,7.3
161,ts22080,7.4,7.5
162,tm67635,7.6,7.7
163,tm320211,6.3,6.4
164,tm7073,4.5,5.1
165,ts28516,9.0,8.8
166,tm117873,7.5,6.5
167,tm55100,7.5,6.8
168,tm64817,7.9,7.6
169,ts22039,7.4,7.6
170,tm188606,7.0,6.5
171,tm41525,7.8,7.9
172,tm189171,6.7,6.1
173,tm63514,7.9,7.8
174,tm21911,6.6,6.0
175,tm188970,8.5,8.1
176,tm12876,8.1,7.2
177,ts224786,,7.6
178,tm62176,6.1,6.7
179,tm52871,6.2,5.7
180,tm8687,,6.1
181,tm104933,6.8,5.8
182,tm184326,7.8,7.3
183,tm62385,6.2,6.0
184,tm191614,7.1,6.7
185,tm110766,6.9,6.7
186,tm9898,7.6,6.9
187,tm47530,6.4,6.5
188,tm57169,7.8,6.9
189,tm192301,6.7,6.6
190,tm58893,5.5,6.0
191,tm110160,7.9,7.5
192,tm118438,6.6,7.1
193,tm424630,7.2,5.1
194,tm27601,6.1,6.6
195,tm203186,8.1,6.7
196,tm128073,,7.8
197,tm7951,6.0,7.0
198,tm7135,,7.5
199,tm52083,7.6,7.3
200,tm340430,6.6,4.0
201,tm7032,6.9,6.2
202,tm256669,6.1,6.7
203,tm64729,6.3,5.2
204,tm184224,7.8,5.5
205,tm25389,6.0,6.3
206,tm34391,7.3,8.5
207,tm44776,5.9,5.9
208,tm334788,4.5,5.0
209,tm117840,6.5,6.0
210,tm42397,4.6,5.3
211,tm314602,5.0,7.5
212,tm255589,,5.2
213,tm7810,5.5,6.0
214,tm210754,,7.6
215,tm449775,5.8,5.0
216,ts4,9.5,8.79
217,ts20371,8.7,7.4
218,ts9,8.2,8.1
219,ts21465,8.4,8.278
220,tm74402,7.1,6.9
221,tm91952,7.1,7.2
222,ts288536,8.6,7.7
223,ts12724,8.3,7.4
224,ts6644,8.5,8.1
225,ts8308,8.5,8.0
226,tm111828,8.1,8.0
227,ts21469,7.6,8.252
228,ts17156,8.7,8.043
229,ts22011,8.4,8.3
230,ts26091,7.8,7.7
231,tm150112,7.0,6.577
232,ts22337,7.8,7.6
233,ts3371,9.3,8.7
234,tm80906,7.1,6.7
235,ts20604,8.7,8.1
236,ts20573,8.5,8.108
237,tm92641,8.8,8.4
238,ts22099,8.3,8.705
239,tm27911,8.5,8.2
240,ts21464,6.1,8.2
241,tm88465,6.8,6.929
242,tm172683,6.5,6.474
243,ts11313,9.0,8.664
244,ts21247,7.7,8.348
245,ts20305,8.4,8.363
246,tm42877,6.7,6.5
247,tm39030,8.0,7.518
248,ts21511,7.6,8.1
249,tm997728,,9.0
250,ts17942,8.8,8.1
251,tm89677,7.4,7.3
252,tm78592,7.2,6.7
253,tm105329,7.7,7.4
254,ts30311,6.9,8.221
255,tm139658,8.0,7.769
256,tm26327,7.5,7.3
257,tm95477,7.3,7.1
258,tm154187,7.6,7.2
259,ts22267,8.6,8.0
260,tm133767,7.6,7.1
261,ts2230,5.6,5.3
262,tm45454,6.5,6.2
263,tm26897,6.6,6.304
264,tm133374,7.6,7.661
265,tm195620,,9.8
266,tm136808,7.3,7.181
267,tm70807,7.2,7.192
268,ts19036,7.2,7.7
269,tm93055,5.9,6.333
270,tm85811,6.7,6.7
271,ts22456,7.4,8.6
272,tm101914,,7.4
273,tm131038,7.0,6.7
274,tm58382,5.7,5.8
275,tm35463,7.5,7.4
276,tm30603,6.4,6.33
277,ts22018,6.7,8.0
278,tm20959,8.0,7.9
279,tm136308,7.3,7.2
280,tm29737,7.0,6.6
281,tm148270,6.7,6.6
282,tm89036,7.0,6.5
283,tm46436,5.6,6.2
284,ts21197,7.9,7.9
285,ts21544,7.9,8.0
286,tm150260,6.9,6.6
287,ts31263,7.6,7.8
288,ts30313,8.3,7.0
289,tm79895,6.0,6.2
290,ts12787,8.7,8.493
291,tm116324,6.6,6.3
292,tm39828,5.8,5.6
293,tm23935,6.8,7.0
294,tm78067,6.5,6.7
295,tm95252,6.8,6.8
296,tm32919,8.0,7.5
297,tm169949,6.7,6.9
298,tm30205,8.0,7.7
299,tm40009,6.8,6.7
300,tm141390,5.5,5.8
301,ts35155,8.3,8.2
302,tm94606,7.1,6.8
303,ts15986,7.6,7.3
304,tm102337,5.2,5.5
305,ts22318,6.2,8.222
306,tm159901,5.1,5.7
307,tm74780,7.4,7.2
308,ts30356,7.6,7.4
309,ts32186,6.2,7.5
310,tm24088,5.1,5.5
311,tm111600,5.1,5.5
312,tm88045,5.4,5.251
313,tm78919,6.4,6.3
314,tm173066,6.4,6.299
315,tm118637,7.0,7.121
316,tm142564,8.4,8.0
317,tm57190,5.9,6.1
318,ts21706,7.2,7.8
319,tm137362,6.2,6.2
320,ts24028,8.9,8.3
321,tm148379,4.0,5.3
322,tm137342,6.6,6.797
323,tm90864,6.5,6.3
324,ts21740,8.2,7.5
325,tm32144,7.0,6.9
326,tm141707,6.7,7.4
327,tm150214,5.7,6.0
328,tm81030,6.1,6.0
329,ts687,7.3,7.2
330,tm147211,6.2,6.0
331,ts31514,7.0,6.9
332,ts33559,8.1,7.9
333,tm78671,6.1,6.0
334,ts26322,8.0,8.5
335,ts12815,6.3,8.774
336,tm27268,6.6,6.6
337,tm86189,5.6,5.9
338,tm700,5.1,5.4
339,tm101249,5.5,5.6
340,tm161263,5.1,5.3
341,tm81270,6.1,5.8
342,tm89684,4.9,6.2
343,tm165593,5.5,5.6
344,tm112381,6.9,6.7
345,tm39487,5.9,5.9
346,ts23752,8.6,7.9
347,tm43399,8.1,7.3
348,ts21421,3.9,7.1
349,ts22005,7.3,7.3
350,ts20398,8.3,6.6
351,tm186461,,7.7
352,tm29555,5.8,5.1
353,tm103095,7.5,7.5
354,tm97070,6.5,6.9
355,tm101334,5.7,5.8
356,tm183963,6.8,6.9
357,tm76428,,6.1
358,tm77649,5.9,6.3
359,tm86924,4.5,5.3
360,ts98340,,
361,tm26638,5.8,6.1
362,tm78189,,5.6
363,ts20544,8.2,8.4
364,ts23835,7.5,6.9
365,tm104880,8.4,7.9
366,ts30288,7.8,7.9
367,ts38159,8.1,8.9
368,tm22294,5.0,5.5
369,tm100015,6.2,6.228
370,ts25765,7.3,8.4
371,ts21688,7.9,8.28
372,tm83786,8.3,8.012
373,tm130574,4.9,5.4
374,tm114476,5.5,5.733
375,ts20535,5.4,5.2
376,ts1893,7.4,6.6
377,tm118462,4.6,5.2
378,ts12701,7.3,7.7
379,ts121176,6.5,8.8
380,tm86995,5.4,6.1
381,ts20526,6.6,8.4
382,ts23808,8.1,7.9
383,tm97544,5.1,5.9
384,ts31593,6.3,5.0
385,ts27459,7.0,6.0
386,ts3666,7.8,7.9
387,tm53999,,5.8
388,tm164557,6.3,6.7
389,tm80059,6.7,7.2
390,tm135451,7.6,7.8
391,tm71558,6.1,7.6
392,tm134235,7.5,7.5
393,tm160800,6.4,6.3
394,tm22342,5.8,6.6
395,ts42914,6.8,5.8
396,tm22636,7.1,6.7
397,ts21967,5.1,5.6
398,tm85549,7.2,7.8
399,tm100688,7.4,6.9
400,tm22493,7.6,6.5
401,ts14102,4.2,6.0
402,tm103732,8.1,7.3
403,tm73058,6.7,7.021
404,tm138497,7.3,6.8
405,ts20358,7.0,8.1
406,tm36475,7.4,7.9
407,tm144345,7.9,7.5
408,tm76835,7.9,7.4
409,tm38896,5.6,5.6
410,tm86051,8.4,7.4
411,ts74931,7.1,
412,tm29269,7.5,7.4
413,ts17028,5.6,8.2
414,tm91046,7.4,7.7
415,tm75022,7.2,7.0
416,tm41508,4.5,5.6
417,ts67595,7.5,7.8
418,tm49405,7.2,7.6
419,tm82765,8.1,7.4
420,tm33981,6.5,6.4
421,ts52849,6.3,8.0
422,tm95238,5.9,6.4
423,tm32885,8.1,7.2
424,ts72322,6.6,7.4
425,ts63295,8.8,8.8
426,ts23319,6.9,6.2
427,ts21695,7.8,7.6
428,tm72587,7.7,6.7
429,tm99776,6.2,5.9
430,tm83175,7.0,6.5
431,tm139349,7.7,7.0
432,tm59880,7.6,7.5
433,ts56589,5.3,6.3
434,tm61056,8.1,7.0
435,tm129763,8.7,7.5
436,ts21664,7.0,7.9
437,tm44378,6.8,6.3
438,tm25842,8.7,6.5
439,tm34846,7.1,7.0
440,tm71119,3.6,5.0
441,tm170873,7.0,6.1
442,tm22540,7.1,6.4
443,tm96037,6.8,7.0
444,tm110923,6.6,6.4
445,tm168869,7.3,6.4
446,ts37200,6.3,7.2
447,tm147686,7.5,7.3
448,tm93612,7.4,7.4
449,tm36164,6.8,7.2
450,tm30170,7.1,7.1
451,tm29731,6.9,6.1
452,tm147494,7.0,7.3
453,tm44530,6.9,6.3
454,tm89936,6.6,6.6
455,ts98353,6.2,
456,ts44663,7.4,7.4
457,tm81461,7.1,6.8
458,tm155761,6.3,6.1
459,tm48083,5.0,2.0
460,tm84348,,5.3
461,tm175687,7.6,7.0
462,tm33067,7.0,6.1
463,tm70222,7.5,7.1
464,tm105278,7.3,7.6
465,tm352243,5.9,5.1
466,ts98316,7.2,
467,tm82718,8.0,7.2
468,tm98975,7.4,7.4
469,ts98252,6.5,
470,tm101609,7.1,6.3
471,tm418157,,6.5
472,tm39557,7.4,6.8
473,tm150521,6.6,6.6
474,tm30289,8.0,6.6
475,tm141117,6.5,6.2
476,tm80339,6.6,7.2
477,tm33729,7.2,6.5
478,tm93004,7.3,6.4
479,ts13411,7.1,7.0
480,ts1464,8.0,7.5
481,tm145243,7.6,7.1
482,tm34524,7.0,7.1
483,tm111226,6.2,5.5
484,tm23441,6.0,6.4
485,tm166293,7.3,6.3
486,tm24576,6.4,7.0
487,tm92977,7.3,6.3
488,tm77348,7.4,6.4
489,ts34414,7.1,7.8
490,ts29199,7.9,8.0
491,tm91323,5.6,5.9
492,tm88366,7.0,6.9
493,tm156575,6.3,6.5
494,tm164389,6.3,6.3
495,tm37945,7.7,6.9
496,tm106625,7.2,6.1
497,tm65142,6.9,6.7
498,tm99450,5.1,5.8
499,tm149209,7.4,6.8
500,tm23977,6.2,5.8
501,tm160596,6.5,6.0
502,tm129971,7.1,6.5
503,tm56428,7.8,7.4
504,ts18653,4.1,6.1
505,tm177687,6.4,6.6
506,tm77863,6.1,5.3
507,tm80455,7.6,6.5
508,tm184732,7.0,6.4
509,tm89764,7.2,7.7
510,ts4866,7.4,7.2
511,tm134407,7.9,6.9
512,tm103133,7.1,6.3
513,tm54147,6.5,6.2
514,ts137477,7.2,
515,ts19384,,7.5
516,tm101684,5.3,4.7
517,tm152724,5.7,4.7
518,ts204466,8.5,
519,tm96168,7.4,6.6
520,tm146887,6.1,5.8
521,tm138902,7.6,7.8
522,tm165809,6.6,5.8
523,tm31335,5.1,5.0
524,tm43179,7.7,6.9
525,tm170169,4.7,4.3
526,tm84316,7.1,6.5
527,tm112235,8.4,7.4
528,tm368679,8.4,7.0
529,ts74928,7.6,7.3
530,tm148041,4.8,4.9
531,tm176297,6.1,5.0
532,tm68191,5.5,5.6
533,tm352863,,3.4
534,tm25029,7.0,5.5
535,ts40702,5.4,
536,tm237621,4.4,4.2
537,tm22989,7.8,7.1
538,tm35652,7.7,6.9
539,tm80487,,4.6
540,tm44634,7.4,7.4
541,tm22558,7.3,6.8
542,tm52352,6.3,7.4
543,tm104349,6.6,6.4
544,tm85243,8.0,7.3
545,tm36636,5.5,5.7
546,tm226362,6.4,5.0
547,tm145690,,5.5
548,tm31564,5.4,5.2
549,tm41953,,6.9
550,tm98475,5.6,5.9
551,tm95434,7.1,7.1
552,ts44053,,8.6
553,tm96595,7.8,6.6
554,tm87909,,8.0
555,ts4924,6.9,
556,ts178360,6.7,
557,ts56595,5.6,
558,tm154802,2.9,4.1
559,tm51493,8.0,7.2
560,tm97982,7.5,6.4
561,tm52176,6.9,5.6
562,tm102848,7.4,7.3
563,tm114504,8.1,6.9
564,ts160526,9.5,
565,tm340006,7.1,
566,tm154375,3.4,3.9
567,tm134140,6.1,5.8
568,tm27484,5.3,4.9
569,tm81864,5.2,5.0
570,tm241875,6.9,7.0
571,tm29028,6.8,6.3
572,tm164591,7.4,6.3
573,tm130301,7.8,6.3
574,tm712151,7.0,
575,ts12444,6.8,4.8
576,tm91176,6.2,
577,ts95855,,
578,tm143510,8.4,7.0
579,tm308960,6.5,6.5
580,tm144835,7.4,8.1
581,tm135795,6.4,5.0
582,tm34924,6.8,6.7
583,tm49865,7.6,6.9
584,ts39604,7.4,2.2
585,tm598375,6.4,6.8
586,tm96052,5.3,5.3
587,tm62369,6.6,6.3
588,tm32915,4.4,7.0
589,ts1413,7.8,7.6
590,tm254052,4.3,4.2
591,tm91125,5.4,5.2
