p_pictureid,p_name,p_type,p_releasedate,p_agerating,p_genre
tm147829,Unspeakable Acts,MOVIE,1990,,drama
ts20981,Survivor,SHOW,2000,TV-PG,reality
tm107744,Mission: Impossible,MOVIE,1996,PG-13,"thriller, action"
ts22176,Stargate SG-1,SHOW,1997,TV-PG,"scifi, drama, action"
tm15897,Se7en,MOVIE,1995,R,"crime, thriller, drama"
ts21223,Pokémon,SHOW,1997,TV-Y7,"action, scifi, animation, comedy, fantasy, family"
tm191013,Boogie Nights,MOVIE,1997,R,drama
tm122434,Forrest Gump,MOVIE,1994,PG-13,"drama, romance"
tm25947,Snatch,MOVIE,2000,R,"crime, comedy"
tm43808,The Talented Mr. Ripley,MOVIE,1999,R,"thriller, drama, crime"
ts20339,One Piece,SHOW,1999,TV-14,"animation, action, comedy, drama, fantasy"
ts5145,The Challenge,SHOW,1998,TV-14,"reality, comedy, drama, scifi"
tm191110,Titanic,MOVIE,1997,PG-13,"drama, romance"
ts34435,Cowboy Bebop,SHOW,1998,TV-14,"animation, action, scifi, western, comedy, drama, thriller"
tm192037,Starship Troopers,MOVIE,1997,R,"scifi, action, thriller"
tm27395,Mission: Impossible II,MOVIE,2000,PG-13,"thriller, action"
tm113513,Dumb and Dumber,MOVIE,1994,PG-13,comedy
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,"drama, scifi, animation, action, fantasy, thriller"
tm192405,Gattaca,MOVIE,1997,PG-13,"scifi, thriller, romance, drama"
tm116655,Léon: The Professional,MOVIE,1994,R,"crime, drama, action, thriller, european"
ts21567,Gilmore Girls,SHOW,2000,TV-14,"comedy, drama"
tm116488,Natural Born Killers,MOVIE,1994,R,"thriller, drama, crime, action"
tm11556,The Quick and the Dead,MOVIE,1995,R,"action, thriller, western, romance"
tm56574,You've Got Mail,MOVIE,1998,PG,"comedy, romance, drama"
ts20960,Power Rangers,SHOW,1993,TV-Y7,"action, scifi, fantasy, family"
tm53991,Big Daddy,MOVIE,1999,PG-13,"drama, comedy, european"
tm49178,Vampires,MOVIE,1998,R,"fantasy, action, horror, thriller"
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,"scifi, action, family, fantasy, animation, comedy, drama"
tm191989,Donnie Brasco,MOVIE,1997,R,"drama, thriller, crime"
ts22193,The Magic School Bus,SHOW,1994,TV-Y,"animation, scifi, comedy, family, fantasy"
ts22489,Goosebumps,SHOW,1995,TV-PG,"scifi, thriller, family, fantasy, horror, music"
ts21034,InuYasha,SHOW,2000,TV-14,"scifi, action, fantasy, romance, animation, comedy, drama"
tm121879,A River Runs Through It,MOVIE,1992,PG,drama
tm44402,"Girl, Interrupted",MOVIE,1999,R,"drama, european"
tm187187,Last Action Hero,MOVIE,1993,PG-13,"action, fantasy, comedy, family"
ts16919,All That,SHOW,1994,TV-G,"comedy, family, music"
tm6859,My Girl,MOVIE,1991,PG,"drama, family, romance, comedy, european"
tm118238,Wyatt Earp,MOVIE,1994,PG-13,"western, crime, action, drama"
tm111163,Eraser,MOVIE,1996,R,"thriller, action, drama, crime"
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,"action, drama, animation, scifi, fantasy"
tm192769,Vegas Vacation,MOVIE,1997,PG,comedy
tm187791,In the Line of Fire,MOVIE,1993,R,"drama, thriller, crime, action"
tm113576,Little Women,MOVIE,1994,PG,"drama, romance, family"
tm65686,U.S. Marshals,MOVIE,1998,PG-13,"thriller, crime, action"
ts8570,Barney & Friends,SHOW,1992,TV-G,"comedy, family"
tm191387,Anaconda,MOVIE,1997,PG-13,"horror, thriller, action"
ts27693,Kenan & Kel,SHOW,1996,TV-Y7,"family, comedy"
tm19494,The Replacements,MOVIE,2000,PG-13,"comedy, sport"
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,"action, drama, history, war"
tm12499,The Net,MOVIE,1995,PG-13,"thriller, action, crime, drama"
tm186589,Cliffhanger,MOVIE,1993,R,"action, thriller, comedy, animation"
tm189764,Menace II Society,MOVIE,1993,R,"drama, crime, thriller"
tm10739,Johnny Mnemonic,MOVIE,1995,R,"action, drama, scifi, thriller"
